Age by year of birth and completed years of age,Legal marital status,Type of building,Census year,Territory,Data type,Gender,Age,0,Flags
"all items","total","all items","2011","Ragusa","present population (absolute values)","females","total",163295,
"all items","total","all items","2011","Ragusa","present population (absolute values)","total","total",321494,
"all items","total","all items","2011","Siracusa","present population (absolute values)","females","total",207321,
"all items","total","all items","2011","Siracusa","present population (absolute values)","total","total",407635,
"all items","total","all items","2011","Sassari","present population (absolute values)","females","total",168667,
"all items","total","all items","2011","Sassari","present population (absolute values)","total","total",327347,
"all items","total","all items","2011","Nuoro","present population (absolute values)","females","total",81825,
"all items","total","all items","2011","Nuoro","present population (absolute values)","total","total",160565,
"all items","total","all items","2011","Cagliari","present population (absolute values)","females","total",285713,
"all items","total","all items","2011","Cagliari","present population (absolute values)","total","total",554328,
"all items","total","all items","2011","Pordenone","present population (absolute values)","females","total",162215,
"all items","total","all items","2011","Pordenone","present population (absolute values)","total","total",318243,
"all items","total","all items","2011","Isernia","present population (absolute values)","females","total",43737,
"all items","total","all items","2011","Isernia","present population (absolute values)","total","total",85370,
"all items","total","all items","2011","Oristano","present population (absolute values)","females","total",82197,
